Date;Price
01/07/2022;52227
30/06/2022;50719
29/06/2022;50836
28/06/2022;50824
27/06/2022;50681
24/06/2022;50614
23/06/2022;50608
22/06/2022;50898
21/06/2022;50775
20/06/2022;50748
17/06/2022;50824
16/06/2022;50945
15/06/2022;50433
14/06/2022;50251
13/06/2022;50682
10/06/2022;51645
09/06/2022;50971
08/06/2022;51036
07/06/2022;50929
06/06/2022;50871
03/06/2022;51287
02/06/2022;51078
01/06/2022;50504
31/05/2022;50924
30/05/2022;50908
27/05/2022;50961
26/05/2022;50858
25/05/2022;50815
24/05/2022;51146
23/05/2022;50934
20/05/2022;50842
19/05/2022;50579
18/05/2022;50235
17/05/2022;50237
16/05/2022;50291
13/05/2022;49944
12/05/2022;50249
11/05/2022;50862
10/05/2022;50662
09/05/2022;51026
06/05/2022;51381
05/05/2022;51653
04/05/2022;50836
03/05/2022;51022
02/05/2022;50831
29/04/2022;51809
28/04/2022;51391
27/04/2022;51357
26/04/2022;51655
25/04/2022;51462
22/04/2022;52250
21/04/2022;52356
20/04/2022;52499
19/04/2022;52603
18/04/2022;53104
14/04/2022;52793
13/04/2022;52871
12/04/2022;52656
11/04/2022;51985
08/04/2022;51854
07/04/2022;51681
06/04/2022;51433
05/04/2022;51619
04/04/2022;51229
01/04/2022;51264
31/03/2022;51633
30/03/2022;51042
29/03/2022;50730
28/03/2022;51442
25/03/2022;51687
24/03/2022;51841
23/03/2022;51580
22/03/2022;51219
21/03/2022;51546
18/03/2022;51383
17/03/2022;51597
16/03/2022;51105
15/03/2022;51522
14/03/2022;52238
11/03/2022;52828
10/03/2022;53183
09/03/2022;52724
08/03/2022;54146
07/03/2022;53461
04/03/2022;52274
03/03/2022;51569
02/03/2022;51133
01/03/2022;51565
28/02/2022;50530
25/02/2022;50039
24/02/2022;51403
23/02/2022;50226
22/02/2022;50186
21/02/2022;49998
18/02/2022;50034
17/02/2022;50277
16/02/2022;49546
15/02/2022;49332
14/02/2022;49827
11/02/2022;49024
10/02/2022;48867
09/02/2022;48575
08/02/2022;48345
07/02/2022;48168
04/02/2022;48081
03/02/2022;47884
02/02/2022;48049
01/02/2022;47966
31/01/2022;47840
28/01/2022;47652
27/01/2022;47974
25/01/2022;48836
24/01/2022;48537
21/01/2022;48243
20/01/2022;48372
19/01/2022;48368
18/01/2022;47926
17/01/2022;47908
14/01/2022;47803
13/01/2022;47759
12/01/2022;47802
11/01/2022;47694
10/01/2022;47471
07/01/2022;47481
06/01/2022;47499
05/01/2022;47974
04/01/2022;47763
03/01/2022;47473
31/12/2021;47994
30/12/2021;47746
29/12/2021;47673
28/12/2021;47888
27/12/2021;47933
24/12/2021;47982
23/12/2021;48012
22/12/2021;48026
21/12/2021;47933
20/12/2021;48130
17/12/2021;48467
16/12/2021;48407
15/12/2021;47900
14/12/2021;47895
13/12/2021;48106
10/12/2021;47993
09/12/2021;47802
08/12/2021;47900
07/12/2021;47922
06/12/2021;47787
03/12/2021;47425
02/12/2021;47307
01/12/2021;47525
30/11/2021;47439
29/11/2021;47613
26/11/2021;47610
25/11/2021;47444
24/11/2021;47469
23/11/2021;47460
22/11/2021;47963
19/11/2021;48829
18/11/2021;49047
17/11/2021;49262
16/11/2021;49038
15/11/2021;49269
12/11/2021;49277
11/11/2021;49208
10/11/2021;48857
09/11/2021;48263
08/11/2021;48025
05/11/2021;47959
04/11/2021;47559
03/11/2021;46961
02/11/2021;47683
01/11/2021;47692
29/10/2021;47502
28/10/2021;47777
27/10/2021;47804
26/10/2021;47680
25/10/2021;48030
22/10/2021;47668
21/10/2021;47314
20/10/2021;47380
19/10/2021;47196
18/10/2021;47186
15/10/2021;47106
14/10/2021;47748
13/10/2021;47753
12/10/2021;47097
11/10/2021;46941
08/10/2021;46922
07/10/2021;46737
06/10/2021;46781
05/10/2021;46459
04/10/2021;46618
01/10/2021;46315
30/09/2021;46221
29/09/2021;45550
28/09/2021;45819
27/09/2021;46064
24/09/2021;45995
23/09/2021;46083
22/09/2021;46682
21/09/2021;46641
20/09/2021;46297
17/09/2021;46025
16/09/2021;46120
15/09/2021;46949
14/09/2021;47267
13/09/2021;46946
10/09/2021;46858
09/09/2021;47021
08/09/2021;47072
07/09/2021;46989
06/09/2021;47450
03/09/2021;47342
02/09/2021;47048
01/09/2021;47093
31/08/2021;47060
30/08/2021;47049
27/08/2021;47416
26/08/2021;47163
25/08/2021;47108
24/08/2021;47532
23/08/2021;47511
20/08/2021;47110
19/08/2021;47119
18/08/2021;47069
17/08/2021;47206
16/08/2021;47138
13/08/2021;46886
12/08/2021;46335
11/08/2021;46351
10/08/2021;45936
09/08/2021;45949
06/08/2021;46682
05/08/2021;47959
04/08/2021;47872
03/08/2021;47854
02/08/2021;47937
30/07/2021;47901
29/07/2021;48210
28/07/2021;47535
27/07/2021;47551
26/07/2021;47455
23/07/2021;47521
22/07/2021;47624
21/07/2021;47584
20/07/2021;47861
19/07/2021;48069
16/07/2021;48040
15/07/2021;48358
14/07/2021;48265
13/07/2021;47887
12/07/2021;47768
09/07/2021;47898
08/07/2021;47735
07/07/2021;47887
06/07/2021;47694
05/07/2021;47567
02/07/2021;47286
01/07/2021;46985
30/06/2021;46817
29/06/2021;46438
28/06/2021;46821
25/06/2021;46757
24/06/2021;46701
23/06/2021;46921
22/06/2021;46838
21/06/2021;46904
18/06/2021;46592
17/06/2021;46781
16/06/2021;48279
15/06/2021;48230
14/06/2021;48318
11/06/2021;48717
10/06/2021;48975
09/06/2021;48904
08/06/2021;48908
07/06/2021;48911
04/06/2021;48650
03/06/2021;48293
02/06/2021;49108
01/06/2021;48935
31/05/2021;48807
28/05/2021;48543
27/05/2021;48561
26/05/2021;48728
25/05/2021;48780
24/05/2021;48514
21/05/2021;48368
20/05/2021;48519
19/05/2021;48660
18/05/2021;48288
17/05/2021;48437
14/05/2021;47682
13/05/2021;47452
12/05/2021;47491
11/05/2021;47625
10/05/2021;47925
07/05/2021;47719
06/05/2021;47536
05/05/2021;46591
04/05/2021;46782
03/05/2021;46963
30/04/2021;46431
29/04/2021;46400
28/04/2021;46697
27/04/2021;46960
26/04/2021;47117
23/04/2021;47169
22/04/2021;47426
21/04/2021;47892
20/04/2021;47498
19/04/2021;47084
16/04/2021;47022
15/04/2021;46881
14/04/2021;46317
13/04/2021;46674
12/04/2021;46188
09/04/2021;46344
08/04/2021;46576
07/04/2021;46128
06/04/2021;45685
05/04/2021;44985
01/04/2021;44957
31/03/2021;44418
30/03/2021;43941
29/03/2021;43754
26/03/2021;44629
25/03/2021;44726
24/03/2021;44841
23/03/2021;44636
22/03/2021;44885
19/03/2021;45008
18/03/2021;44942
17/03/2021;44848
16/03/2021;44820
15/03/2021;44906
12/03/2021;44737
11/03/2021;44876
10/03/2021;44774
09/03/2021;44844
08/03/2021;44233
05/03/2021;44442
04/03/2021;44581
03/03/2021;44721
02/03/2021;45224
01/03/2021;45021
26/02/2021;45569
25/02/2021;46085
24/02/2021;46369
23/02/2021;46632
22/02/2021;46782
19/02/2021;46095
18/02/2021;46046
17/02/2021;46134
16/02/2021;46777
15/02/2021;47118
12/02/2021;47169
11/02/2021;47377
10/02/2021;47863
09/02/2021;47818
08/02/2021;47726
05/02/2021;46978
04/02/2021;46695
03/02/2021;47703
02/02/2021;47752
01/02/2021;48424
29/01/2021;49111
28/01/2021;48672
27/01/2021;48879
25/01/2021;49144
22/01/2021;49131
21/01/2021;49418
20/01/2021;49528
19/01/2021;49011
18/01/2021;48918
15/01/2021;48745
14/01/2021;49238
13/01/2021;49354
12/01/2021;49098
11/01/2021;49386
08/01/2021;49035
07/01/2021;50918
06/01/2021;50545
05/01/2021;51456
04/01/2021;51349
01/01/2021;50081
31/12/2020;50081
30/12/2020;49881
29/12/2020;49722
28/12/2020;49761
24/12/2020;49787
23/12/2020;49909
22/12/2020;49768
21/12/2020;50146
18/12/2020;50100
17/12/2020;50263
